1	2
1	3
2	3
2	4
2	5
3	5
3	6
4	5
4	7
4	8
5	6
5	8
5	9
6	9
6	10
7	8
7	11
7	12
8	9
8	12
8	13
9	10
9	13
9	14
10	14
10	15
11	12
11	16
11	17
12	13
12	17
12	18
13	14
13	18
13	19
14	15
14	19
14	20
15	20
15	21
16	17
16	22
16	23
17	18
17	23
17	24
18	19
18	24
18	25
19	20
19	25
19	26
20	21
20	26
20	27
21	27
21	28
22	23
22	29
22	30
23	24
23	30
23	31
24	25
24	31
24	32
25	26
25	32
25	33
26	27
26	33
26	34
27	28
27	34
27	35
28	35
28	36
29	30
29	37
29	38
30	31
30	38
30	39
31	32
31	39
31	40
32	33
32	40
32	41
33	34
33	41
33	42
34	35
34	42
34	43
35	36
35	43
35	44
36	44
36	45
37	38
38	39
39	40
40	41
41	42
42	43
43	44
44	45
